Provincias;Sector económico;Periodo;Total
Total Nacional;Construcción;2010T3;8,9
Total Nacional;Construcción;2010T2;9,1
Total Nacional;Construcción;2010T1;8,9
Total Nacional;Construcción;2009T4;9,5
Total Nacional;Construcción;2009T3;9,7
Total Nacional;Construcción;2009T2;10,1
Total Nacional;Construcción;2009T1;10,3
Total Nacional;Construcción;2008T4;10,9
Total Nacional;Construcción;2008T3;11,8
Total Nacional;Construcción;2008T2;12,4
Total Nacional;Construcción;2008T1;13,0
Total Nacional;Servicios;2021T2;75,6
Total Nacional;Servicios;2021T1;75,5
Total Nacional;Servicios;2020T4;75,4
Total Nacional;Servicios;2020T3;75,7
Total Nacional;Servicios;2020T2;75,4
Total Nacional;Servicios;2020T1;75,4
Total Nacional;Servicios;2019T4;75,8
Total Nacional;Servicios;2019T3;75,7
Total Nacional;Servicios;2019T2;75,5
Total Nacional;Servicios;2019T1;75,2
Total Nacional;Servicios;2018T4;75,4
Total Nacional;Servicios;2018T3;75,8
Total Nacional;Servicios;2018T2;75,4
Total Nacional;Servicios;2018T1;75,3
Total Nacional;Servicios;2017T4;75,4
Total Nacional;Servicios;2017T3;75,8
Total Nacional;Servicios;2017T2;75,5
Total Nacional;Servicios;2017T1;75,6
Total Nacional;Servicios;2016T4;75,8
Total Nacional;Servicios;2016T3;76,3
Total Nacional;Servicios;2016T2;76,3
Total Nacional;Servicios;2016T1;76,2
Total Nacional;Servicios;2015T4;76,2
Total Nacional;Servicios;2015T3;76,1
Total Nacional;Servicios;2015T2;75,7
Total Nacional;Servicios;2015T1;75,8
Total Nacional;Servicios;2014T4;76,1
Total Nacional;Servicios;2014T3;76,5
Total Nacional;Servicios;2014T2;76,5
Total Nacional;Servicios;2014T1;76,1
Total Nacional;Servicios;2013T4;76,0
Total Nacional;Servicios;2013T3;76,4
Total Nacional;Servicios;2013T2;75,8
Total Nacional;Servicios;2013T1;75,6
Total Nacional;Servicios;2012T4;75,2
Total Nacional;Servicios;2012T3;75,3
Total Nacional;Servicios;2012T2;75,1
Total Nacional;Servicios;2012T1;74,8
Total Nacional;Servicios;2011T4;74,2
Total Nacional;Servicios;2011T3;74,5
Total Nacional;Servicios;2011T2;74,2
Total Nacional;Servicios;2011T1;73,6
Total Nacional;Servicios;2010T4;73,1
Total Nacional;Servicios;2010T3;73,1
Total Nacional;Servicios;2010T2;72,7
Total Nacional;Servicios;2010T1;72,5
Total Nacional;Servicios;2009T4;71,9
Total Nacional;Servicios;2009T3;72,0
Total Nacional;Servicios;2009T2;71,0
Total Nacional;Servicios;2009T1;70,2
Total Nacional;Servicios;2008T4;69,7
Total Nacional;Servicios;2008T3;68,6
Total Nacional;Servicios;2008T2;67,7
Total Nacional;Servicios;2008T1;66,5
