Comunidades y Ciudades Autónomas;Sectores de actividad;Tipo de indicador;Componentes del coste;Periodo;Total
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2015;19.846,82
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2014;19.715,46
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2013;19.682,56
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2012;20.010,68
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2011;20.276,26
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2010;20.948,68
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2009;20.309,45
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2008;18.296,94
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2020;28.395,93
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2019;29.303,55
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2018;28.864,56
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2017;28.863,82
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2016;28.238,60
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2015;28.369,38
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2014;28.028,07
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2013;28.037,53
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2012;27.178,68
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2011;27.084,32
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2010;25.794,26
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2009;25.626,65
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2008;25.497,52
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2020;24.545,07
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2019;24.659,26
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2018;24.359,35
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2017;24.010,82
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2016;25.205,71
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2015;24.383,52
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2014;23.763,91
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2013;25.047,57
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2012;25.544,10
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2011;26.947,12
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2010;26.691,80
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2009;25.225,84
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2008;23.748,78
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2020;24.106,82
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2019;23.819,52
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2018;23.270,18
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2017;22.632,43
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2016;21.413,12
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2015;21.493,63
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2014;21.781,18
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2013;20.906,62
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2012;21.344,54
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2011;22.136,02
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2010;22.297,30
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2009;21.902,17
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2008;21.589,73
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2020;32.366,26
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2019;33.172,86
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2018;33.054,17
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2017;32.641,94
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2016;31.747,03
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2015;31.516,14
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2014;31.281,42
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2013;30.880,18
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2012;29.862,45
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2011;29.721,68
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2010;29.205,77
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2009;28.332,28
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2008;28.472,53
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2020;26.452,78
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2019;26.629,55
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2018;26.981,33
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2017;26.472,39
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2016;26.989,39
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2015;27.091,63
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2014;26.508,87
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2013;25.313,48
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2012;25.198,80
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2011;25.958,70
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2010;25.520,53
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2009;25.335,96
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2008;25.465,18
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2020;25.470,06
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2019;25.905,63
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2018;25.400,59
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2017;24.616,97
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2016;24.870,69
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2015;25.267,17
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2014;25.488,85
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2013;26.041,47
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2012;25.800,99
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2011;25.544,96
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2010;25.639,90
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2009;25.198,77
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2008;23.955,48
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2020;23.344,47
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2019;24.283,75
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2018;24.022,91
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2017;23.905,44
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2016;23.330,81
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2015;23.022,84
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2014;22.451,15
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2013;23.362,22
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2012;23.135,64
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2011;22.424,48
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2010;21.292,42
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2009;21.446,20
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2008;21.717,57
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2020;21.430,73
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2019;22.436,66
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2018;22.421,99
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2017;22.096,18
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2016;22.266,49
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2015;24.054,08
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2014;23.793,42
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2013;21.922,73
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2012;22.862,75
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2011;23.569,59
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2010;22.708,05
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2009;21.991,92
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2008;20.042,85
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2020;19.531,01
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2019;20.046,38
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2018;19.405,68
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2017;19.916,73
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2016;20.032,25
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2015;20.508,73
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2014;20.152,64
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2013;20.317,77
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2012;19.684,04
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2011;20.599,53
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2010;20.877,42
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2009;20.628,22
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2008;19.553,69
